skill
python
java
c++
javascript
react
nodejs
django
flask
fastapi
aws
docker
kubernetes
terraform
sql
postgresql
mongodb
redis
git
linux
machine learning
deep learning
tensorflow
pytorch
pandas
numpy
scikit-learn
data analysis
nlp
computer vision
rest api
microservices
graphql
